keyword,normalized_keyword,impressions,trend,cluster,intent,public_status,primary_url,supporting_urls,placement_plan,notes
梯子推荐排名,梯子推荐排名,28260,stable,核心大词,商用榜单,public,https://tztjpaiming.xyz/,https://tztjpaiming.xyz/posts/ranking/,首页与综合榜主词,核心主词
2026好用机场排名榜,2026好用机场排名榜,10065,up,核心大词,榜单对比,public,https://tztjpaiming.xyz/posts/ranking/best-vpn-airport-rankings-2026/,https://tztjpaiming.xyz/posts/ranking/,文章1主词,长文收割
高性价比魔法机场,高性价比魔法机场,9627,stable,细分对比,性价比选择,public,https://tztjpaiming.xyz/posts/ranking/,https://tztjpaiming.xyz/providers/flycat-cloud/,栏目与飞猫云测评,重点展现
梯子排名前十,梯子排名前十,8444,up,核心大词,榜单查询,public,https://tztjpaiming.xyz/posts/ranking/best-vpn-airport-rankings-2026/,https://tztjpaiming.xyz/,核心排名文,前十导流
稳定翻墙梯子排行榜,稳定翻墙梯子排行榜,7346,stable,核心大词,高可用,public,https://tztjpaiming.xyz/posts/ranking/academic-and-business-stable-proxy-ranking/,https://tztjpaiming.xyz/posts/ranking/,外贸学术文,合规转换
便宜梯子排名,便宜梯子排名,6176,stable,细分对比,低预算,public,https://tztjpaiming.xyz/posts/ranking/,https://tztjpaiming.xyz/providers/u1s1/,便宜机场专题,小流量年付
晚高峰不限速机场排行,晚高峰不限速机场排行,5554,up,细分对比,流媒体,public,https://tztjpaiming.xyz/posts/speed-test-guide/ping-latency-packet-loss-explained/,https://tztjpaiming.xyz/providers/twilight/,测速与暮光网络,晚高峰抗断流
IPLC专线梯子排行榜,iplc专线梯子排行榜,5369,up,细分对比,高SLA专线,public,https://tztjpaiming.xyz/posts/ranking/academic-and-business-stable-proxy-ranking/,https://tztjpaiming.xyz/providers/quanqiu-cloud/,文章4主词,IPLC专线
流媒体解锁梯子排行,流媒体解锁梯子排行,4284,stable,细分对比,4K解锁,public,https://tztjpaiming.xyz/posts/ranking/,https://tztjpaiming.xyz/providers/twilight/,暮光网络测评,影音流媒体
Clash Verge 节点测速排序,clash verge 节点测速排序,4094,up,客户端实操,软件配置,public,https://tztjpaiming.xyz/posts/clients/cross-platform-client-setup-for-beginners/,https://tztjpaiming.xyz/posts/clients/,文章2主词,Clash Verge教程
Shadowrocket 节点延迟测试,shadowrocket 节点延迟测试,2819,stable,客户端实操,iOS教程,public,https://tztjpaiming.xyz/posts/clients/cross-platform-client-setup-for-beginners/,https://tztjpaiming.xyz/posts/clients/,客户端文章,Shadowrocket
Sing-box 订阅更新教程,sing-box 订阅更新教程,2225,up,客户端实操,全平台导入,public,https://tztjpaiming.xyz/posts/clients/cross-platform-client-setup-for-beginners/,https://tztjpaiming.xyz/posts/clients/,客户端文章,Sing-box
Windows梯子客户端使用方法,windows梯子客户端使用方法,1744,stable,客户端实操,Windows,public,https://tztjpaiming.xyz/posts/clients/cross-platform-client-setup-for-beginners/,https://tztjpaiming.xyz/posts/clients/,客户端文章,Windows教程
测速延迟低不等于好用,测速延迟低不等于好用,1406,up,机制与认知,认知纠偏,public,https://tztjpaiming.xyz/posts/speed-test-guide/ping-latency-packet-loss-explained/,https://tztjpaiming.xyz/posts/speed-test-guide/,文章3主词,深度认知
梯子排名看哪些指标,梯子排名看哪些指标,1314,stable,机制与认知,标准拆解,public,https://tztjpaiming.xyz/posts/speed-test-guide/ping-latency-packet-loss-explained/,https://tztjpaiming.xyz/posts/ranking/,文章1标准,透明指标
机场节点丢包率怎么看,机场节点丢包率怎么看,1271,up,机制与认知,排错与丢包,public,https://tztjpaiming.xyz/posts/speed-test-guide/ping-latency-packet-loss-explained/,https://tztjpaiming.xyz/posts/speed-test-guide/,文章3辅词,丢包率分析
掉线自动切换配置,掉线自动切换配置,1044,stable,机制与认知,高可用自动化,public,https://tztjpaiming.xyz/posts/speed-test-guide/,https://tztjpaiming.xyz/providers/jilianyun/,排错与极连云,自动切换
AI工具魔法上网节点选择,ai工具魔法上网节点选择,1000,up,场景拓展,AI场景,public,https://tztjpaiming.xyz/posts/ranking/ai-proxy-selection-guide/,https://tztjpaiming.xyz/providers/yuzhoucloud/,用户指定种子词,AI场景覆盖
